Interactor A,Interactor B,Confidence Value
Q5S007,P31689,0.87
P50570,P12931,0.87
P07900,P43034,0.87
Q12983,Q07817,0.87
P04637,O14980,0.87
Q13049,Q96EV8,0.87
Q14694,Q8NB46,0.87
Q86Y82,Q9UL45,0.87
P04637,O15350,0.87
P49768,P49810,0.87
Q86VP1,Q9Y6C2,0.87
P04637,Q92993,0.87
P07948,P07948,0.87
Q14596,Q8WZ42,0.87
Q86Y82,O15400,0.87
P55061,Q96GF1,0.87
P07948,P16671,0.87
P07900,P07332,0.87
P00519,Q13905,0.87
Q5T8D3,Q9P0L0,0.87
O75385,P54619,0.87
P09429,Q08945,0.87
P50542,P04040,0.87
Q13137,A7MCY6,0.87
Q7KZI7,P04066,0.87
P04637,Q8N3Y1,0.87
P04637,P23297,0.87
Q5S007,P60866,0.87
Q8IXJ6,P49591,0.87
P04637,P48643,0.87
P07948,P32927,0.87
Q96EY5,Q9UK41,0.87
Q5S007,P42677,0.87
P42345,Q9Y4R8,0.87
A5D8V6,Q9UK41,0.87
Q13137,P0CG47,0.87
P04637,P62258,0.87
Q13137,P60520,0.87
Q66K74,Q8WWW0,0.87
P11142,Q15750,0.87
Q5S007,Q16543,0.87
Q7LBR1,P40818,0.87
Q5S007,Q9H0U4,0.87
P04637,P08047,0.87
Q12983,Q08722,0.87
P04637,O75147,0.87
P68543,Q9BZV1,0.87
O75323,P10809,0.87
O14964,P11142,0.87
P16615,P00533,0.87
Q14694,O15084,0.87
Q8TDY2,Q9H1Y0,0.87
P04637,Q86X55,0.87
Q14694,Q04637,0.87
Q5T8D3,O95292,0.87
P16615,P56180,0.87
P09429,Q96T23,0.87
Q5S007,Q99961,0.87
Q5S007,P62906,0.87
P07948,P08581,0.87
P13473,Q6P996,0.87
P00519,P56945,0.87
P61006,Q8TBN0,0.87
P04637,P17844,0.87
P07900,Q8IWD4,0.87
Q5S007,P23396,0.87
O95721,Q96A65,0.87
Q14694,O75170,0.87
O15294,Q9UKB1,0.87
P16615,P13569,0.87
Q8WUM4,Q8WUM4,0.87
Q5S007,P63261,0.87
Q5S007,P62280,0.87
Q14694,P67809,0.87
P54257,Q13562,0.87
Q14457,A8K0Z3,0.87
O95166,Q99442,0.87
P04637,Q92769,0.87
Q13137,Q86VP1,0.87
P07948,Q06187,0.87
P11142,Q9UBB4,0.87
Q86VP1,Q15025,0.87
Q8WUM4,Q9Y5K6,0.87
P04637,O75928,0.87
P42704,Q14197,0.87
O14964,Q99698,0.87
O95721,Q13114,0.87
O14964,Q9H3Z4,0.87
P10415,Q14643,0.87
P04637,Q9UHC7,0.87
P07948,Q13480,0.87
Q92995,Q14683,0.87
Q96CV9,Q12904,0.87
Q8NEM7,Q9UPT9,0.87
Q5S007,P61026,0.87
Q7KZI7,P27448,0.87
O14964,Q9UJY4,0.87
P16615,P01106,0.87
Q5S007,O43795,0.87
O00189,Q9UPM8,0.87
Q14694,Q9UPN7,0.87
Q96AJ9,O15400,0.87
P12931,Q16832,0.87
Q96CV9,Q8TBZ3,0.87
P12931,P01112,0.87
P04637,Q8TDN4,0.87
P04637,O15164,0.87
P00519,P35222,0.87
O75629,P11717,0.87
P53365,P53367,0.87
P55061,Q2M2E3,0.87
P55072,Q13617,0.87
P04637,P00519,0.87
P07900,Q13619,0.87
Q13501,Q9Y6K9,0.87
Q92995,P11441,0.87
Q5T8D3,O95159,0.87
Q86VP3,P63104,0.87
Q5S007,O75581,0.87
P10909,P98164,0.87
P11142,Q14103,0.87
P56962,Q9BV40,0.87
P09429,P10275,0.87
P07948,Q8WWW8,0.87
Q7KZI7,Q9NQT8,0.87
P49768,P20618,0.87
P16615,O14983,0.87
P10415,P49768,0.87
P49768,P14136,0.87
Q13049,Q9Y6Y8,0.87
Q13615,Q9NYA4,0.87
P00519,Q92558,0.87
Q92995,Q9UQE7,0.87
O75385,P42345,0.87
O15118,P61916,0.87
P04637,Q15466,0.87
Q5S007,P26373,0.87
P11142,P99999,0.87
Q12983,Q8NI37,0.87
P55072,Q92905,0.87
P07900,Q9UQ88,0.87
P07900,P11309,0.87
P07900,Q8WVJ2,0.87
Q86WV6,O15260,0.87
P42704,Q9GZT3,0.87
Q12778,P41235,0.87
P49768,P28066,0.87
O95352,Q9H0Y0,0.87
Q8WUH2,Q9H270,0.87
Q13049,Q9NV70,0.87
O95295,Q96L14,0.87
Q16666,P12956,0.87
P11142,P17987,0.87
Q13501,Q92896,0.87
P12931,P10721,0.87
Q00610,Q00610,0.87
P49768,P14923,0.87
P00519,P00519,0.87
Q5S007,Q8WUM0,0.87
P51149,P45880,0.87
P60520,O75323,0.87
P49768,Q9UMF0,0.86
Q13501,O60716,0.86
Q86WG5,O95248,0.86
P50570,Q9UPX8,0.86
O14964,P78352,0.86
O95721,P46459,0.86
Q8TDY2,Q96LT7,0.86
O43353,Q13077,0.86
O43353,P08670,0.86
Q15831,Q8N1F8,0.86
Q14596,Q9GZQ8,0.86
P00519,O60496,0.86
Q5T8D3,Q9NQX4,0.86
O75323,Q14697,0.86
Q00610,Q09472,0.86
Q7KZI7,Q9UK80,0.86
P11142,Q99558,0.86
P04637,Q99973,0.86
Q5S007,Q9UKV8,0.86
P51149,P21796,0.86
P55072,Q96CV9,0.86
O95166,O95197,0.86
Q14457,P46934,0.86
P07900,P50502,0.86
P07900,Q9NYJ8,0.86
P62820,P62330,0.86
P11142,P21860,0.86
P12931,Q05513,0.86
Q14964,P61026,0.86
Q13315,O43156,0.86
Q96A56,O95166,0.86
P51149,Q07065,0.86
P51149,Q9Y4G2,0.86
P09429,P20226,0.86
P60520,Q9BPW8,0.86
Q8IZQ1,Q9GZQ8,0.86
P07900,Q14164,0.86
Q5S007,O14641,0.86
P11142,Q8IZP0,0.86
Q13137,Q8TDY2,0.86
P55072,O75688,0.86
P07900,P19388,0.86
P11142,P00505,0.86
P09429,Q9Y5B9,0.86
P12931,Q9Y4K3,0.86
Q96AG3,Q9NX63,0.86
P27361,P07948,0.86
O75385,Q9Y478,0.86
P55072,P42858,0.86
O95166,Q9GZQ8,0.86
O95278,O43741,0.86
Q96A56,P60520,0.86
Q13501,O00232,0.86
P07900,P48729,0.86
O95295,Q70UQ0,0.86
P11142,P57723,0.86
P12931,Q8IZL8,0.86
Q96AG3,Q9Y6C9,0.86
P49768,P49755,0.86
P11142,Q13217,0.86
P04637,O60502,0.86
Q86WG5,Q13614,0.86
Q86WG5,Q13613,0.86
Q13131,Q13451,0.86
P09429,P84103,0.86
P04637,Q9H422,0.86
Q5S007,P55060,0.86
P07900,O14746,0.86
Q13501,P06239,0.86
P50542,Q99489,0.86
P04637,P10828,0.86
O95352,Q9H492,0.86
P61019,P21796,0.86
P50570,Q9P0V3,0.86
P51149,Q99623,0.86
P11142,Q9H6T0,0.86
P04637,Q9UPR3,0.86
Q676U5,Q9GZQ8,0.86
O95278,O95685,0.86
P42704,Q6UB35,0.86
P51149,P04844,0.86
Q676U5,Q9H2C0,0.86
P61019,P61421,0.86
Q14CS0,Q96JH7,0.86
P04637,P15559,0.86
Q5S007,P63000,0.86
P04637,Q86XK2,0.86
P11142,Q14164,0.86
Q13501,Q96DV4,0.86
Q14694,Q5D1E8,0.86
P10415,Q9C000,0.86
P10415,Q99638,0.86
P11142,P09496,0.86
Q00610,O95630,0.86
P27361,P53355,0.86
P11142,P51812,0.86
P68543,Q96JH7,0.86
P55072,Q03135,0.86
P04637,Q15573,0.86
P04637,P29034,0.86
Q00610,Q9Y4F3,0.86
O15294,Q8IZD2,0.86
P00519,P08631,0.86
O15294,P15822,0.86
P04637,O95155,0.86
Q96AG3,Q8IWA4,0.86
O75323,P40939,0.86
P12931,Q9Y6K9,0.86
P12931,P19793,0.86
P16615,Q9UI95,0.86
Q5S007,O00231,0.86
P00519,P04626,0.86
P10415,Q14790,0.86
Q92995,P54252,0.86
P04637,Q9BX70,0.86
P12931,O43150,0.86
Q96AG3,O95140,0.86
Q92995,Q02218,0.86
P07900,P06241,0.86
P04637,Q969H0,0.86
Q5S007,Q15008,0.86
P42345,P85299,0.86
Q14457,Q8IYI6,0.86
P07948,Q13444,0.86
P14416,P32121,0.86
O15294,Q9Y297,0.86
P12931,O14920,0.86
P04637,Q53T94,0.86
P00519,O43586,0.86
Q8TDY2,Q13501,0.86
Q7KZI7,O75122,0.86
Q13501,Q9P265,0.86
Q14596,Q99689,0.86
O15294,O60502,0.86
P54646,Q4VCS5,0.86
Q92995,P45974,0.86
P51149,P51970,0.86
P04637,O95863,0.86
P16144,P23229,0.86
P27361,Q8N490,0.86
P11142,Q04206,0.86
O95210,Q9H0R8,0.86
Q92995,Q92890,0.86
P42704,O75365,0.86
P51149,Q03135,0.86
P11142,P50552,0.86
Q13501,P13569,0.86
Q13131,P08238,0.86
P12931,Q13177,0.86
P42704,P38117,0.86
P04637,Q15572,0.86
P04637,O43524,0.86
P04637,Q92922,0.86
P06702,Q86VM9,0.86
Q14694,O43432,0.86
P00519,P10721,0.86
O43353,Q9BX69,0.86
Q5S007,Q16531,0.86
P11142,O75807,0.86
P54646,Q13131,0.86
Q14457,O15392,0.86
P07900,Q99615,0.86
P04637,P30153,0.86
Q13137,Q06787,0.86
P04637,O43847,0.86
P07948,P06493,0.86
O75385,Q9Y4K3,0.86
Q13131,Q15831,0.86
Q13315,P78527,0.86
P55072,Q9UBN7,0.86
P12931,Q14185,0.86
P12931,P11473,0.86
Q5S007,Q71U36,0.86
P16615,P23297,0.86
Q00610,P32121,0.86
P09429,P68431,0.86
Q7KZI7,P41743,0.86
O75886,Q13671,0.86
Q12778,Q09472,0.86
P50851,P16410,0.86
O00189,Q9Y6B7,0.86
Q5S007,P37840,0.86
P12931,Q16825,0.86
P07900,Q99759,0.86
Q13049,P31947,0.86
P11142,P63167,0.86
P07948,P25063,0.86
Q14596,Q9H0E2,0.86
P61960,Q9GZZ9,0.86
P07900,Q15750,0.86
P11142,O75190,0.86
P61019,Q14254,0.86
O14964,O43318,0.86
P04637,Q8TAF3,0.86
O95278,Q9UQK1,0.86
P04637,P27695,0.86
Q14596,Q9H492,0.86
P09429,P62753,0.86
P06702,Q13418,0.86
Q13137,P57678,0.86
P07900,O14654,0.86
Q96AG3,Q16891,0.86
P16144,Q15149,0.86
Q86VN1,Q9UK41,0.86
P10415,P28482,0.86
P42704,Q8IWL3,0.86
P12931,P68400,0.86
Q13049,Q13501,0.85
P55072,Q9UMX0,0.85
P04637,P23396,0.85
Q15831,Q9UNS2,0.85
P07900,Q13163,0.85
Q96CV9,Q9UM54,0.85
P54646,Q9UGI9,0.85
P12931,P14921,0.85
P07900,P63104,0.85
P07900,P61956,0.85
P11142,P13569,0.85
P00519,Q9Y3L3,0.85
P61960,Q9Y3C8,0.85
Q5S007,Q9NQU5,0.85
P07900,P08631,0.85
P04637,O95714,0.85
O75323,Q05513,0.85
P11142,O00743,0.85
P54646,Q15654,0.85
P04637,P61086,0.85
Q5S007,Q04917,0.85
Q7KZI7,P62258,0.85
P07900,Q92918,0.85
P07948,P29353,0.85
P07900,P17612,0.85
P07948,P42680,0.85
P07948,Q6NXT1,0.85
Q13501,P62837,0.85
P61006,Q7RTP6,0.85
P55072,P27824,0.85
P00519,Q92918,0.85
P05198,P62136,0.85
P07900,Q6VAB6,0.85
O95166,Q8TDY2,0.85
P07948,P19235,0.85
P00519,Q38SD2,0.85
P55072,P13569,0.85
Q8TDY2,Q9BXW4,0.85
P50570,Q99962,0.85
P04637,O14920,0.85
Q00610,Q9UM54,0.85
O75385,Q676U5,0.85
P12931,P25963,0.85
Q15831,P08238,0.85
P07900,P51451,0.85
P07900,Q86YV6,0.85
P05109,P13569,0.85
P12931,P43405,0.85
P11142,P37840,0.85
P11142,Q9NVT9,0.85
Q13315,Q9Y6K9,0.85
P04637,P20248,0.85
O95721,O95183,0.85
O75886,Q9Y3C5,0.85
P12931,P19174,0.85
P04637,Q9H6Z9,0.85
O75143,O95166,0.85
P09429,P06400,0.85
P07948,Q6PIZ9,0.85
Q13137,Q9NVV4,0.85
Q5T0N5,P60953,0.85
P48426,Q15831,0.85
P07900,Q8N165,0.85
P07900,Q96GD4,0.85
Q96CV9,Q9NQC7,0.85
Q5S007,P30084,0.85
O95166,Q8WYN0,0.85
P04637,Q15291,0.85
P60520,Q8WVZ9,0.85
O75886,P29597,0.85
Q5S007,P60953,0.85
Q15831,Q13451,0.85
P51149,P20338,0.85
P51149,Q96JC1,0.85
P12931,Q99704,0.85
Q16666,Q12888,0.85
P07900,Q9HB71,0.85
O95166,Q14596,0.85
P07900,P10636,0.85
P04637,Q99873,0.85
O15294,O15047,0.85
P27361,P01106,0.85
Q92609,Q9H0R8,0.85
Q8TDY2,A7MCY6,0.85
P00519,P29350,0.85
O75886,P52333,0.85
P16144,P18054,0.85
Q16666,Q16666,0.85
P12931,O95297,0.85
P55072,O15503,0.85
P00519,P23458,0.85
P04637,P61978,0.85
P12931,Q07960,0.85
O15294,Q96EK4,0.85
P12931,P62993,0.85
O15294,Q15291,0.85
P07900,P51617,0.85
O75629,P20226,0.85
Q6UWE0,Q9BUL5,0.85
Q00610,Q10567,0.85
Q13131,Q13085,0.85
P04637,Q9NVC6,0.85
P11142,O15379,0.85
P07948,Q9NWQ8,0.85
P04637,P0CG48,0.85
Q676U5,Q14088,0.85
P12931,P13945,0.85
P12931,P07948,0.85
P05198,Q9UI10,0.85
O15294,Q9P0U4,0.85
P07900,P49761,0.85
O95295,Q6QNY0,0.85
O95721,O43752,0.85
Q5VWJ9,O95219,0.85
O14964,P05067,0.85
P04637,Q9UK53,0.85
P07900,O94966,0.85
P11142,P42858,0.85
P11142,P53367,0.85
Q13315,P16220,0.85
P07948,P48736,0.85
P60520,O75143,0.85
Q00610,O95208,0.85
Q676U5,Q9H082,0.85
Q6PHR2,O00170,0.85
P17861,P01100,0.85
Q8WYN0,Q9GZQ8,0.85
Q15831,Q15831,0.85
P11142,P42684,0.85
P49768,Q9UQB3,0.85
O95721,Q9BV40,0.85
P12931,Q13322,0.85
P42345,Q15382,0.85
P51149,Q9P253,0.85
O95166,O95210,0.85
P07900,P05412,0.85
P07900,Q8TDR2,0.85
P27361,Q15121,0.85
P11142,P04049,0.85
Q96BY2,Q07817,0.85
Q14CS0,Q15435,0.85
O15294,Q8NFU7,0.85
Q6PHR2,Q13451,0.85
O14964,Q13153,0.85
O00750,P27348,0.85
O95278,O95278,0.85
Q14457,O14980,0.85
P12931,P98172,0.85
Q96A37,Q6GPH4,0.85
P07900,Q00987,0.85
Q13501,P61077,0.85
P60520,Q9GZQ8,0.85
P12931,Q9UI08,0.85
P12931,P08238,0.85
P27361,P67775,0.85
Q13049,P51965,0.85
Q14CS0,O60927,0.85
P04637,P13569,0.85
Q96A56,Q9H2X6,0.85
Q86VP1,Q9GZQ8,0.85
Q96EY5,Q99816,0.85
P07900,P10398,0.85
P11142,P31350,0.85
P04637,Q9H0W5,0.85
P07948,P08473,0.85
P43235,P29508,0.85
P07900,Q14004,0.85
Q92995,P46379,0.84
O15294,Q9BQE3,0.84
P10415,Q13526,0.84
P11142,Q9BQI3,0.84
Q13501,Q9H6Z9,0.84
P12931,P36575,0.84
P04637,P15884,0.84
P12931,P51813,0.84
Q5S007,Q4G0J3,0.84
P11142,Q8WXB1,0.84
P00519,P27348,0.84
P04637,P06400,0.84
P07339,P07602,0.84
Q63HN8,Q63HN8,0.84
Q96CV9,Q9H492,0.84
O15294,P61964,0.84
P05109,Q00005,0.84
O95166,Q14145,0.84
P07948,P08631,0.84
P04637,P25208,0.84
P07900,P19525,0.84
Q66K74,P42704,0.84
P49768,P15924,0.84
P27361,Q92576,0.84
P12931,O60716,0.84
Q13049,Q15051,0.84
P11142,P08243,0.84
O95166,Q05513,0.84
P49768,Q9Y4K3,0.84
P11142,Q92731,0.84
P50570,Q9UNF0,0.84
O15294,Q8WXF1,0.84
P48426,P19784,0.84
Q15831,Q9BT78,0.84
Q5S007,Q6P3X3,0.84
Q5S007,P24844,0.84
O95166,Q8NFG4,0.84
Q5S007,Q05639,0.84
Q00610,Q96FJ0,0.84
Q7KZI7,P47756,0.84
P27361,Q13418,0.84
P12931,Q13077,0.84
Q00610,Q9Y5X1,0.84
P07900,P49841,0.84
Q96BY2,Q96BY2,0.84
O15294,P49368,0.84
P05109,P03372,0.84
P07900,Q5S007,0.84
P11142,Q96HC4,0.84
Q12778,Q01105,0.84
Q66K74,Q9H492,0.84
P12931,P49407,0.84
P62820,Q92696,0.84
Q14596,Q14596,0.84
Q5S007,P31948,0.84
Q86VN1,Q99816,0.84
Q13501,Q9UHD2,0.84
O95166,Q8TF40,0.84
P07948,P61978,0.84
Q7KZI7,P52907,0.84
Q15831,P31749,0.84
P12931,Q13114,0.84
P04637,Q92994,0.84
P04637,Q9BT78,0.84
Q5S007,Q71RC2,0.84
Q13501,O15530,0.84
Q96BY2,P10415,0.84
P00519,O15357,0.84
P55072,P62191,0.84
P12931,O60496,0.84
P04637,Q13569,0.84
O43353,Q9Y4K3,0.84
O95166,Q96CV9,0.84
P07900,P01106,0.84
P27361,P04637,0.84
O15294,P48643,0.84
Q86VP1,Q86VP1,0.84
O95721,Q9NPJ6,0.84
P19484,O14948,0.84
Q5S007,P62269,0.84
Q5S007,P17612,0.84
P60520,P00533,0.84
Q7KZI7,Q16537,0.84
O75385,O00560,0.84
P61006,Q969X0,0.84
Q14457,P04626,0.84
P04637,Q9Y297,0.84
P04637,Q92540,0.84
O95352,Q9BXW4,0.84
O95166,P46934,0.84
P07900,Q14653,0.84
P07900,P51957,0.84
P12931,Q8TBB1,0.84
Q5S007,O95218,0.84
Q5S007,P49207,0.84
P49754,O14617,0.84
P42345,P61254,0.84
Q8IXJ6,Q92831,0.84
P10415,Q08209,0.84
P04637,Q92830,0.84
P49768,Q9Y2W7,0.84
Q96CV9,Q15907,0.84
Q96EY5,Q9Y5K6,0.84
Q13501,Q9H1Y0,0.84
P19484,P19532,0.84
P11142,Q00597,0.84
O15294,P52594,0.84
O15294,P10809,0.84
P04637,Q99816,0.84
P00519,P62258,0.84
Q5S007,P52564,0.84
Q5S007,O43865,0.84
Q96CV9,Q9Y4P8,0.84
P55072,O95140,0.84
P04637,P19784,0.84
Q13501,P35998,0.84
O75385,P58004,0.84
O15294,Q13557,0.84
P60520,O00410,0.84
Q5S007,P49406,0.84
O95166,O75323,0.84
P11142,O75534,0.84
P12931,Q15654,0.84
P07900,P31751,0.84
P12931,P46108,0.84
P07948,P12318,0.84
O75323,Q9GZQ8,0.84
P04637,Q8WYH8,0.84
P04637,Q04206,0.84
P07900,P10909,0.84
Q5S007,P62277,0.84
P60520,Q13618,0.84
P19484,O75030,0.84
P49768,Q15011,0.84
O15294,O75312,0.84
P00519,Q04917,0.84
O15294,P78371,0.84
P42345,P42224,0.84
P04637,Q16539,0.84
P04637,P11802,0.84
P42345,O00303,0.84
P11142,Q99614,0.84
P61006,Q5S007,0.84
Q00610,Q6P3W7,0.84
P04637,P46379,0.84
Q00610,P11142,0.84
P04637,P21675,0.84
P04637,Q92841,0.84
Q13049,P54253,0.84
P16615,P27824,0.84
P07948,P24941,0.84
O15294,Q9UJU6,0.84
P00519,P31946,0.84
P04637,P34931,0.84
Q13501,P34932,0.84
P17861,P18850,0.84
O95166,Q8TD19,0.84
Q00610,P42858,0.84
Q14596,Q9H0R8,0.84
Q5S007,P62888,0.84
P12931,P42224,0.84
Q00610,O14976,0.84
P07900,Q8TF40,0.84
P04637,Q8TAQ5,0.84
P27361,O94822,0.84
O15294,O60296,0.84
Q5S007,P04350,0.84
P09429,Q04206,0.84
P11142,Q96EY1,0.84
P00519,Q14511,0.84
O15294,O43151,0.84
Q5S007,Q12972,0.84
Q96AJ9,Q9BV40,0.84
P11142,Q9BQC3,0.84
P12931,P25098,0.84
P12931,P10828,0.84
P27361,Q9H4H8,0.84
P04637,O76021,0.84
O14964,P22314,0.84
Q96AJ9,O15155,0.84
Q92783,O60674,0.84
P04637,P46777,0.84
P04637,O15055,0.84
Q13501,P11473,0.84
P60520,Q96CV9,0.84
O75385,Q8N122,0.84
O15294,P28838,0.84
P12931,O15111,0.84
Q5VVQ6,Q9Y4K3,0.84
P04637,P36873,0.84
Q16635,Q9Y297,0.84
Q13501,Q14790,0.84
P09429,Q01860,0.84
P04637,Q96GD4,0.84
O95721,Q9NRL3,0.83
P11142,Q9NX65,0.83
P11142,Q15459,0.83
O00214,A1A5C7,0.83
O00214,Q5ZPR3,0.83
Q8NEM7,Q96ES7,0.83
Q15751,Q5H9I0,0.83
P11142,Q9UDY4,0.83
Q16635,Q8N2E2,0.83
P48426,Q66PJ3,0.83
Q96A37,Q12756,0.83
Q00610,Q9H492,0.83
Q13615,O14965,0.83
P11142,P27540,0.83
O00214,Q08722,0.83
O00214,Q9P2B2,0.83
P09429,P26583,0.83
Q12778,P31946,0.83
Q6ZNE9,O14777,0.83
Q8WYN0,Q5T0J3,0.83
Q86Y82,O60499,0.83
Q86Y82,Q96CV9,0.83
Q13315,Q9NZQ7,0.83
P17861,Q9NS37,0.83
O14964,P08727,0.83
O95721,Q96NA8,0.83
O14964,Q15323,0.83
Q16635,Q16787,0.83
Q16635,P39060,0.83
Q16666,Q8IY81,0.83
Q8N5K1,P36941,0.83
Q16666,Q9BVP2,0.83
Q00610,P49023,0.83
Q66K74,Q08830,0.83
O14925,Q99595,0.83
O95721,Q96ES7,0.83
O75886,P42566,0.83
Q13501,Q9BPW8,0.83
O00214,Q7L0J3,0.83
O00214,O00560,0.83
O00214,Q9HB90,0.83
Q96A37,P36941,0.83
P48426,O60885,0.83
O75886,O60674,0.83
P62820,P47224,0.83
O95210,O95685,0.83
Q96DT6,Q8TBN0,0.83
Q86Y82,Q9HA65,0.83
Q5MNZ9,Q96T88,0.83
P51149,P60468,0.83
Q16635,Q9H497,0.83
P04637,P20042,0.83
Q96A37,Q07157,0.83
P60520,Q969E8,0.83
P78356,Q9NWT6,0.83
Q8NEB9,Q9NQC1,0.83
O95140,Q92667,0.83
O95721,Q96BD8,0.83
Q6IQ22,P31150,0.83
O00214,Q6NSJ5,0.83
Q8NEZ2,Q9NZ09,0.83
O00214,O43567,0.83
P48426,Q8TBX8,0.83
P04637,P62913,0.83
Q86Y82,Q96M89,0.83
P10415,Q9NYF8,0.83
P49754,Q8WUH2,0.83
Q8IZQ1,Q13501,0.83
Q92995,Q969Q1,0.83
Q16635,Q8NBK3,0.83
Q16635,Q6UWY0,0.83
Q92609,Q7Z3C6,0.83
P55072,P25786,0.83
Q96A37,Q8IY63,0.83
P12931,Q8NFB2,0.83
O95721,Q9P2W9,0.83
P16144,P48509,0.83
O75385,O75385,0.83
O00214,P19256,0.83
O00214,P18433,0.83
O00214,Q92581,0.83
Q96DA2,O60259,0.83
P55072,P46379,0.83
P04637,P09936,0.83
Q96BY7,Q9Y484,0.83
Q8WYN0,Q6UWW0,0.83
Q8WUH2,Q8N3P4,0.83
Q86Y82,P78316,0.83
Q86Y82,Q9NZ43,0.83
Q13315,Q86VZ1,0.83
Q13049,Q13404,0.83
P07900,Q9UQB9,0.83
Q70CQ3,P02746,0.83
Q13137,P56279,0.83
Q16635,Q9BZ76,0.83
Q96A37,Q86WJ1,0.83
P04637,P84022,0.83
Q00610,O43318,0.83
P42338,P62993,0.83
Q66K74,Q8NFT6,0.83
P04637,P40227,0.83
P07900,P35222,0.83
O95721,O75150,0.83
P10909,Q96AT9,0.83
P27361,Q13227,0.83
P11142,P31749,0.83
P11142,P48730,0.83
O00214,Q9UBG0,0.83
O00214,Q92673,0.83
O00214,Q9UIQ6,0.83
Q96A37,Q9NR21,0.83
O15294,Q9H1M0,0.83
O75886,Q13094,0.83
O95210,P11216,0.83
Q15831,Q9H9S4,0.83
P07900,Q06187,0.83
Q86Y82,Q13190,0.83
P10415,Q9HD36,0.83
Q16635,Q86W74,0.83
Q16666,Q2NL82,0.83
Q16666,Q15397,0.83
P11142,P54253,0.83
P11142,Q9UN36,0.83
Q70CQ3,Q15388,0.83
O14964,Q9UMX0,0.83
Q96AX1,Q9P2Y5,0.83
O00214,P23634,0.83
O00214,Q7Z2H8,0.83
O00214,O15431,0.83
P00519,O14818,0.83
Q5S007,P16615,0.83
Q86Y82,Q9P2W9,0.83
Q13049,Q14141,0.83
P42345,Q9BZW8,0.83
Q8WUD1,Q8IWE2,0.83
Q16635,Q9NZR2,0.83
Q8IXJ6,Q15042,0.83
Q16635,Q96S86,0.83
Q86VP3,Q96FV0,0.83
Q16666,Q9H0A0,0.83
Q16666,O15226,0.83
Q16666,Q99575,0.83
P78356,Q66PJ3,0.83
O95721,Q6ZSJ8,0.83
P16144,Q05397,0.83
P11142,Q13043,0.83
P51149,P08559,0.83
Q86VP1,Q9H6H4,0.83
Q96CV9,Q8TBN0,0.83
O00214,P08962,0.83
O00214,Q12913,0.83
O00214,Q5VZM2,0.83
P12931,Q75N03,0.83
Q96BY7,Q96DB2,0.83
Q5MNZ6,Q15293,0.83
Q7Z3C6,P17931,0.83
Q86Y82,Q9UHD2,0.83
Q86Y82,Q14232,0.83
P42345,O95274,0.83
O75351,Q9BY32,0.83
Q70CQ3,Q9H5K3,0.83
Q16635,P06756,0.83
P07339,O96009,0.83
Q8N5K1,Q9UGM1,0.83
Q16666,Q9Y3T9,0.83
P07900,Q7L3B6,0.83
P07900,Q9Y239,0.83
O95721,Q9Y6A5,0.83
Q676U5,Q9NT62,0.83
P43235,O60911,0.83
Q13501,Q16288,0.83
Q13501,O75323,0.83
P54646,Q96SD1,0.83
Q14CS0,Q9Y5S2,0.83
O75385,Q96F24,0.83
Q13131,Q16543,0.83
O00214,O94886,0.83
O00214,P55011,0.83
P54646,O75385,0.83
Q8IZQ1,P13747,0.83
O95352,Q99538,0.83
Q68DK2,Q99750,0.83
P42345,P01116,0.83
Q16635,O00462,0.83
Q16635,Q5T4B2,0.83
P07900,Q05513,0.83
P04637,O95816,0.83
P04637,P17987,0.83
P07900,Q15365,0.83
O95721,Q9Y4K3,0.83
Q13131,Q96SD1,0.83
Q13496,Q15036,0.83
Q86Y82,Q9UEU0,0.83
Q96EY5,Q9UHD4,0.83
O00214,Q16720,0.83
O00214,Q6UXD5,0.83
Q8NEZ2,Q8N5I2,0.83
O00214,P51798,0.83
P04637,P53779,0.83
P04637,P04183,0.83
P07900,P40763,0.83
P07900,Q9UQM7,0.83
Q15831,P46734,0.83
Q86Y82,Q9H115,0.83
P42345,Q12933,0.83
P42345,Q96IQ7,0.83
P49754,P49754,0.83
O94874,P35613,0.83
Q8IXJ6,Q86UE4,0.83
Q16635,Q6P9A2,0.83
Q16635,Q14112,0.83
Q86VP3,Q9Y2I8,0.83
Q13501,P29692,0.83
Q13315,Q9NUW8,0.83
Q13501,P24387,0.83
Q6UWE0,Q9Y5X9,0.83
P78356,Q96JC9,0.83
P05109,P04637,0.83
P12931,Q8N5S1,0.83
P04637,P62877,0.83
O95721,Q5T5C0,0.83
Q13131,Q07820,0.83
P11142,Q9H6A0,0.83
P68543,Q9BZE9,0.83
P54802,Q9NRD1,0.83
O00214,P23470,0.83
O00214,O15439,0.83
Q96BY7,Q9UPM6,0.83
Q5S007,P78527,0.83
Q86Y82,Q5T5C0,0.83
P42345,Q9NZQ7,0.83
O75351,Q13490,0.83
Q86VP1,Q07960,0.83
Q70CQ3,Q15024,0.83
Q16635,Q13683,0.83
Q16666,Q9NV06,0.83
P55072,Q12888,0.83
Q96A37,O95271,0.83
P07948,P09067,0.83
P07900,P09769,0.83
Q66K74,P25445,0.83
P07900,Q14145,0.83
P43235,Q4LE39,0.83
P12109,Q9BWP8,0.83
Q14596,O76038,0.83
P11142,Q9Y2I8,0.83
Q14CS0,Q9BZE9,0.83
Q13131,P07900,0.83
O00214,Q9Y6M7,0.83
O00214,Q9UP95,0.83
